[-2.1966041856438318e+12, 0.0, 0.0]	[2.1966041856438318e+12, 0.0, 0.0],
[-2.1420101031464404e+12, 0.0, 0.0]	[2.1420101031464404e+12, 0.0, 0.0],
[-2.0799175839534233e+12, 0.0, 0.0]	[2.0799175839534233e+12, 0.0, 0.0],
[-2.0097712596309006e+12, 0.0, 0.0]	[2.0097712596309006e+12, 0.0, 0.0],
[-1.9310456513302788e+12, 0.0, 0.0]	[1.9310456513302788e+12, 0.0, 0.0],
[-1.843266007822841e+12, 0.0, 0.0]	[1.843266007822841e+12, 0.0, 0.0],
[-1.746032337906347e+12, 0.0, 0.0]	[1.746032337906347e+12, 0.0, 0.0],
[-1.6390460835603054e+12, 0.0, 0.0]	[1.6390460835603054e+12, 0.0, 0.0],
[-1.5221384583861777e+12, 0.0, 0.0]	[1.5221384583861777e+12, 0.0, 0.0],
[-1.3952990052766343e+12, 0.0, 0.0]	[1.3952990052766343e+12, 0.0, 0.0],
[-1.2587024579538176e+12, 0.0, 0.0]	[1.2587024579538176e+12, 0.0, 0.0],
[-1.1127315957237437e+12, 0.0, 0.0]	[1.1127315957237437e+12, 0.0, 0.0],
[-9.579935491741016e+11, 0.0, 0.0]	[9.579935491741016e+11, 0.0, 0.0],
[-7.953270397477095e+11, 0.0, 0.0]	[7.953270397477095e+11, 0.0, 0.0],
[-6.257983939469615e+11, 0.0, 0.0]	[6.257983939469615e+11, 0.0, 0.0],
[-4.5068489688326135e+11, 0.0, 0.0]	[4.5068489688326135e+11, 0.0, 0.0],
[-2.7144510883820508e+11, 0.0, 0.0]	[2.7144510883820508e+11, 0.0, 0.0],
[-8.967705538177289e+10, 0.0, 0.0]	[8.967705538177289e+10, 0.0, 0.0],
[9.293345914137234e+10, 0.0, 0.0]	[-9.293345914137234e+10, 0.0, 0.0],
[2.746709882536762e+11, 0.0, 0.0]	[-2.746709882536762e+11, 0.0, 0.0],
[4.538507979283218e+11, 0.0, 0.0]	[-4.538507979283218e+11, 0.0, 0.0],
[6.288769235183087e+11, 0.0, 0.0]	[-6.288769235183087e+11, 0.0, 0.0],
[7.982937069710721e+11, 0.0, 0.0]	[-7.982937069710721e+11, 0.0, 0.0],
[9.608274061375823e+11, 0.0, 0.0]	[-9.608274061375823e+11, 0.0, 0.0],
[1.1154156495014954e+12, 0.0, 0.0]	[-1.1154156495014954e+12, 0.0, 0.0],
[1.2612238498119763e+12, 0.0, 0.0]	[-1.2612238498119763e+12, 0.0, 0.0],
[1.3976489742797354e+12, 0.0, 0.0]	[-1.3976489742797354e+12, 0.0, 0.0],
[1.524312122680854e+12, 0.0, 0.0]	[-1.524312122680854e+12, 0.0, 0.0],
[1.6410420821922317e+12, 0.0, 0.0]	[-1.6410420821922317e+12, 0.0, 0.0],
[2.4279462443915874e+12, 0.0, 0.0]	[-2.4279462443915874e+12, 0.0, 0.0],
[2.5232932255790117e+12, 0.0, 0.0]	[-2.5232932255790117e+12, 0.0, 0.0],
