[9.702457889263655, 0.0, 0.0] 	[6.437542110736354, 0.0, 0.0]
[9.702466049521224, 0.0, 0.0] 	[6.437533950478785, 0.0, 0.0]
[9.703387223855069, 0.0, 0.0] 	[6.4366127761449405, 0.0, 0.0]
[9.70521275940376, 0.0, 0.0] 	[6.434787240596249, 0.0, 0.0]
[9.707925731834353, 0.0, 0.0] 	[6.432074268165658, 0.0, 0.0]
[9.711501528638944, 0.0, 0.0] 	[6.428498471361066, 0.0, 0.0]
[9.715908668904062, 0.0, 0.0] 	[6.424091331095947, 0.0, 0.0]
[9.721109802700319, 0.0, 0.0] 	[6.41889019729969, 0.0, 0.0]
[9.727062825399075, 0.0, 0.0] 	[6.412937174600931, 0.0, 0.0]
[9.733722041198437, 0.0, 0.0] 	[6.40627795880157, 0.0, 0.0]
[9.741039315141872, 0.0, 0.0] 	[6.398960684858134, 0.0, 0.0]
[9.748965162425247, 0.0, 0.0] 	[6.391034837574762, 0.0, 0.0]
[9.757449735963796, 0.0, 0.0] 	[6.382550264036213, 0.0, 0.0]
[9.76984415554327, 0.0, 0.0] 	[6.370155844456739, 0.0, 0.0]
[9.782682668219586, 0.0, 0.0] 	[6.357317331780423, 0.0, 0.0]
[9.795905314061526, 0.0, 0.0] 	[6.344094685938482, 0.0, 0.0]
[9.809457561076751, 0.0, 0.0] 	[6.330542438923257, 0.0, 0.0]
[9.823290234304688, 0.0, 0.0] 	[6.316709765695321, 0.0, 0.0]
[9.83735931714979, 0.0, 0.0] 	[6.302640682850217, 0.0, 0.0]
[9.85162566549132, 0.0, 0.0] 	[6.2883743345086875, 0.0, 0.0]
[9.86605466767573, 0.0, 0.0] 	[6.273945332324278, 0.0, 0.0]
[9.880615876338414, 0.0, 0.0] 	[6.259384123661594, 0.0, 0.0]
[9.895282631593295, 0.0, 0.0] 	[6.244717368406713, 0.0, 0.0]
[9.910031689689799, 0.0, 0.0] 	[6.229968310310211, 0.0, 0.0]
[9.924842866809819, 0.0, 0.0] 	[6.215157133190192, 0.0, 0.0]
[9.939698704200062, 0.0, 0.0] 	[6.200301295799948, 0.0, 0.0]
[9.954584158191247, 0.0, 0.0] 	[6.185415841808762, 0.0, 0.0]
[9.969486316708927, 0.0, 0.0] 	[6.170513683291082, 0.0, 0.0]
[9.98439414249618, 0.0, 0.0] 	[6.155605857503831, 0.0, 0.0]
[9.999298242323524, 0.0, 0.0] 	[6.140701757676488, 0.0, 0.0]
[0.014190660851266301, 0.0, 0.0] 	[6.125809339148747, 0.0, 0.0]
[0.02906469744761407, 0.0, 0.0] 	[6.1109353025524, 0.0, 0.0]
[0.04391474408356958, 0.0, 0.0] 	[6.096085255916444, 0.0, 0.0]
[0.058736142369258865, 0.0, 0.0] 	[6.081263857630755, 0.0, 0.0]
[0.07352505782546263, 0.0, 0.0] 	[6.066474942174551, 0.0, 0.0]
[0.08827836956839993, 0.0, 0.0] 	[6.051721630431614, 0.0, 0.0]
[0.10299357370333821, 0.0, 0.0] 	[6.037006426296676, 0.0, 0.0]
[0.11766869885765585, 0.0, 0.0] 	[6.0223313011423585, 0.0, 0.0]
[0.13230223242567746, 0.0, 0.0] 	[6.007697767574337, 0.0, 0.0]
[0.14689305623859888, 0.0, 0.0] 	[5.993106943761415, 0.0, 0.0]
[0.1614403905083793, 0.0, 0.0] 	[5.978559609491635, 0.0, 0.0]
[0.17594374502173504, 0.0, 0.0] 	[5.964056254978279, 0.0, 0.0]
[0.1904028766777728, 0.0, 0.0] 	[5.949597123322241, 0.0, 0.0]
[0.2048177525697106, 0.0, 0.0] 	[5.935182247430304, 0.0, 0.0]
[0.2191885179075202, 0.0, 0.0] 	[5.920811482092494, 0.0, 0.0]
[0.23351546816454774, 0.0, 0.0] 	[5.906484531835466, 0.0, 0.0]
[0.24779902490782862, 0.0, 0.0] 	[5.892200975092185, 0.0, 0.0]
[0.26203971483963884, 0.0, 0.0] 	[5.877960285160374, 0.0, 0.0]
[0.27623815163760285, 0.0, 0.0] 	[5.863761848362411, 0.0, 0.0]
[0.29039502023320146, 0.0, 0.0] 	[5.849604979766812, 0.0, 0.0]
[0.3045110632145596, 0.0, 0.0] 	[5.835488936785453, 0.0, 0.0]
[0.318587069079664, 0.0, 0.0] 	[5.821412930920349, 0.0, 0.0]
[0.33262386210133926, 0.0, 0.0] 	[5.807376137898674, 0.0, 0.0]
[0.34662229359599944, 0.0, 0.0] 	[5.793377706404014, 0.0, 0.0]
[0.36058323441494544, 0.0, 0.0] 	[5.779416765585068, 0.0, 0.0]
[0.37450756850028494, 0.0, 0.0] 	[5.7654924314997285, 0.0, 0.0]
[0.3883961873678448, 0.0, 0.0] 	[5.751603812632168, 0.0, 0.0]
[0.4022499853971155, 0.0, 0.0] 	[5.737750014602898, 0.0, 0.0]
[0.4160698558236437, 0.0, 0.0] 	[5.72393014417637, 0.0, 0.0]
[0.4298566873426795, 0.0, 0.0] 	[5.710143312657334, 0.0, 0.0]
[0.4436113612445353, 0.0, 0.0] 	[5.6963886387554785, 0.0, 0.0]
[0.4573347490122637, 0.0, 0.0] 	[5.682665250987751, 0.0, 0.0]
